r	c	score
hs_117	mm_L5 extratelencephalic projecting glutamatergic cortical neuron	0.82
hs_332	mm_mammillary body neuron	0.81
mm_L6 intratelencephalic projecting glutamatergic neuron	hs_148	0.81
hs_238	mm_medial ganglionic eminence derived GABAergic cortical interneuron	0.81
mm_medial ganglionic eminence derived GABAergic cortical interneuron	hs_238	0.81
hs_293	mm_vip GABAergic cortical interneuron	0.81
hs_120	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.81
mm_glutamatergic neuron	hs_375	0.81
hs_250	mm_sst GABAergic cortical interneuron	0.81
mm_indirect pathway medium spiny neuron	hs_213	0.81
hs_367	mm_glutamatergic neuron	0.81
hs_307	mm_cerebellar neuron	0.81
hs_375	mm_glutamatergic neuron	0.81
hs_213	mm_indirect pathway medium spiny neuron	0.81
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_120	0.81
mm_sst GABAergic cortical interneuron	hs_250	0.81
mm_cerebellar neuron	hs_307	0.81
hs_148	mm_L6 intratelencephalic projecting glutamatergic neuron	0.81
mm_mammillary body neuron	hs_332	0.81
mm_vip GABAergic cortical interneuron	hs_293	0.81
mm_glutamatergic neuron	hs_367	0.81
hs_122	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.8
hs_219	mm_Island of Calleja granule cell	0.8
hs_208	mm_indirect pathway medium spiny neuron	0.8
mm_Island of Calleja granule cell	hs_219	0.8
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_122	0.8
mm_indirect pathway medium spiny neuron	hs_208	0.8
mm_GABAergic neuron	hs_429	0.79
hs_249	mm_sst GABAergic cortical interneuron	0.79
hs_259	mm_pvalb GABAergic cortical interneuron	0.79
hs_429	mm_GABAergic neuron	0.79
mm_glutamatergic neuron	hs_320	0.79
mm_pvalb GABAergic cortical interneuron	hs_259	0.79
hs_320	mm_glutamatergic neuron	0.79
hs_110	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.79
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_110	0.79
mm_sst GABAergic cortical interneuron	hs_249	0.79
mm_glutamatergic neuron	hs_370	0.78
hs_150	mm_glutamatergic neuron	0.78
hs_370	mm_glutamatergic neuron	0.78
mm_glutamatergic neuron	hs_150	0.78
hs_395	mm_midbrain dopaminergic neuron	0.78
mm_midbrain dopaminergic neuron	hs_395	0.78
mm_glutamatergic neuron	hs_345	0.77
hs_345	mm_glutamatergic neuron	0.77
mm_dentate gyrus of hippocampal formation granule cell	hs_205	0.77
hs_251	mm_sst GABAergic cortical interneuron	0.77
hs_296	mm_vip GABAergic cortical interneuron	0.77
mm_sst GABAergic cortical interneuron	hs_251	0.77
hs_205	mm_dentate gyrus of hippocampal formation granule cell	0.77
mm_vip GABAergic cortical interneuron	hs_296	0.77
hs_222	mm_D1/D2-hybrid medium spiny neuron	0.76
mm_D1/D2-hybrid medium spiny neuron	hs_222	0.76
mm_pvalb GABAergic cortical interneuron	hs_257	0.76
hs_257	mm_pvalb GABAergic cortical interneuron	0.76
hs_438	mm_GABAergic neuron	0.75
hs_355	mm_GABAergic neuron	0.75
hs_92	mm_near-projecting glutamatergic cortical neuron	0.75
mm_GABAergic neuron	hs_438	0.75
mm_pvalb GABAergic cortical interneuron	hs_258	0.75
mm_GABAergic neuron	hs_355	0.75
hs_214	mm_direct pathway medium spiny neuron	0.75
mm_near-projecting glutamatergic cortical neuron	hs_92	0.75
mm_sncg GABAergic cortical interneuron	hs_279	0.75
hs_258	mm_pvalb GABAergic cortical interneuron	0.75
mm_direct pathway medium spiny neuron	hs_214	0.75
hs_279	mm_sncg GABAergic cortical interneuron	0.75
hs_434	mm_GABAergic neuron	0.74
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_134	0.74
mm_glutamatergic neuron	hs_431	0.74
hs_134	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.74
hs_431	mm_glutamatergic neuron	0.74
mm_GABAergic neuron	hs_434	0.74
hs_410	mm_glutamatergic neuron	0.74
mm_mammillary body neuron	hs_330	0.74
mm_glutamatergic neuron	hs_410	0.74
hs_330	mm_mammillary body neuron	0.74
hs_449	mm_thalamic excitatory neuron	0.73
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_124	0.73
mm_vip GABAergic cortical interneuron	hs_295	0.73
mm_thalamic excitatory neuron	hs_449	0.73
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_108	0.73
hs_124	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.73
hs_295	mm_vip GABAergic cortical interneuron	0.73
mm_pvalb GABAergic cortical interneuron	hs_263	0.73
hs_263	mm_pvalb GABAergic cortical interneuron	0.73
hs_108	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.73
hs_363	mm_glutamatergic neuron	0.72
hs_417	mm_GABAergic neuron	0.72
hs_98	mm_L6b glutamatergic cortical neuron	0.72
hs_284	mm_vip GABAergic cortical interneuron	0.72
mm_L6b glutamatergic cortical neuron	hs_98	0.72
hs_285	mm_vip GABAergic cortical interneuron	0.72
mm_medium spiny neuron	hs_232	0.72
mm_vip GABAergic cortical interneuron	hs_284	0.72
mm_GABAergic neuron	hs_430	0.72
hs_232	mm_medium spiny neuron	0.72
mm_glutamatergic neuron	hs_363	0.72
mm_vip GABAergic cortical interneuron	hs_285	0.72
hs_430	mm_GABAergic neuron	0.72
mm_GABAergic neuron	hs_417	0.72
hs_253	mm_sst GABAergic cortical interneuron	0.72
mm_sst GABAergic cortical interneuron	hs_253	0.72
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_125	0.71
mm_direct pathway medium spiny neuron	hs_210	0.71
hs_174	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.71
hs_210	mm_direct pathway medium spiny neuron	0.71
hs_224	mm_D1/D2-hybrid medium spiny neuron	0.71
hs_125	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.71
mm_medium spiny neuron	hs_230	0.71
mm_D1/D2-hybrid medium spiny neuron	hs_224	0.71
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_174	0.71
hs_230	mm_medium spiny neuron	0.71
mm_near-projecting glutamatergic cortical neuron	hs_89	0.7
hs_89	mm_near-projecting glutamatergic cortical neuron	0.7
mm_GABAergic neuron	hs_435	0.7
hs_435	mm_GABAergic neuron	0.7
hs_248	mm_sst GABAergic cortical interneuron	0.69
mm_monocyte	hs_3	0.69
hs_384	mm_glutamatergic neuron	0.69
hs_3	mm_monocyte	0.69
mm_medium spiny neuron	hs_234	0.69
mm_glutamatergic neuron	hs_369	0.69
mm_sst GABAergic cortical interneuron	hs_248	0.69
mm_glutamatergic neuron	hs_373	0.69
hs_123	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.69
hs_373	mm_glutamatergic neuron	0.69
hs_234	mm_medium spiny neuron	0.69
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_123	0.69
hs_369	mm_glutamatergic neuron	0.69
mm_glutamatergic neuron	hs_384	0.69
mm_GABAergic neuron	hs_359	0.68
hs_439	mm_GABAergic neuron	0.68
mm_mammillary body neuron	hs_326	0.68
hs_182	mm_hippocampal CA1-3 neuron	0.68
mm_GABAergic neuron	hs_439	0.68
hs_441	mm_GABAergic neuron	0.68
mm_GABAergic neuron	hs_441	0.68
mm_GABAergic neuron	hs_357	0.68
mm_chandelier pvalb GABAergic cortical interneuron	hs_265	0.68
hs_228	mm_medium spiny neuron	0.68
hs_359	mm_GABAergic neuron	0.68
mm_medium spiny neuron	hs_228	0.68
hs_265	mm_chandelier pvalb GABAergic cortical interneuron	0.68
hs_357	mm_GABAergic neuron	0.68
mm_hippocampal CA1-3 neuron	hs_182	0.68
hs_326	mm_mammillary body neuron	0.68
mm_pvalb GABAergic cortical interneuron	hs_236	0.67
hs_195	mm_hippocampal CA1-3 neuron	0.67
mm_GABAergic neuron	hs_358	0.67
mm_glutamatergic neuron	hs_366	0.67
hs_358	mm_GABAergic neuron	0.67
hs_292	mm_vip GABAergic cortical interneuron	0.67
hs_436	mm_GABAergic neuron	0.67
mm_hippocampal CA1-3 neuron	hs_179	0.67
mm_near-projecting glutamatergic cortical neuron	hs_94	0.67
hs_215	mm_direct pathway medium spiny neuron	0.67
hs_366	mm_glutamatergic neuron	0.67
mm_GABAergic neuron	hs_436	0.67
mm_vip GABAergic cortical interneuron	hs_292	0.67
hs_236	mm_pvalb GABAergic cortical interneuron	0.67
hs_94	mm_near-projecting glutamatergic cortical neuron	0.67
mm_hippocampal CA1-3 neuron	hs_195	0.67
mm_direct pathway medium spiny neuron	hs_215	0.67
hs_179	mm_hippocampal CA1-3 neuron	0.67
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_172	0.66
hs_149	mm_L6 intratelencephalic projecting glutamatergic neuron	0.66
mm_thalamic excitatory neuron	hs_447	0.66
hs_447	mm_thalamic excitatory neuron	0.66
hs_172	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.66
mm_L6 intratelencephalic projecting glutamatergic neuron	hs_149	0.66
hs_324	mm_mammillary body neuron	0.65
hs_262	mm_pvalb GABAergic cortical interneuron	0.65
hs_421	mm_GABAergic neuron	0.65
mm_GABAergic neuron	hs_421	0.65
hs_168	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.65
hs_281	mm_sncg GABAergic cortical interneuron	0.65
mm_mammillary body neuron	hs_324	0.65
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_168	0.65
mm_L5 extratelencephalic projecting glutamatergic cortical neuron	hs_114	0.65
mm_glutamatergic neuron	hs_152	0.65
mm_sncg GABAergic cortical interneuron	hs_281	0.65
hs_114	mm_L5 extratelencephalic projecting glutamatergic cortical neuron	0.65
mm_pvalb GABAergic cortical interneuron	hs_262	0.65
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_131	0.65
hs_152	mm_glutamatergic neuron	0.65
hs_131	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.65
hs_383	mm_glutamatergic neuron	0.64
mm_glutamatergic neuron	hs_383	0.64
mm_thalamic excitatory neuron	hs_448	0.63
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_175	0.63
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_177	0.63
mm_near-projecting glutamatergic cortical neuron	hs_93	0.63
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_166	0.63
hs_175	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.63
hs_166	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.63
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_406	0.63
hs_448	mm_thalamic excitatory neuron	0.63
hs_406	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.63
hs_93	mm_near-projecting glutamatergic cortical neuron	0.63
hs_177	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.63
mm_GABAergic neuron	hs_424	0.62
mm_L6b glutamatergic cortical neuron	hs_101	0.62
mm_hippocampal CA1-3 neuron	hs_184	0.62
mm_hippocampal CA1-3 neuron	hs_181	0.62
mm_L6b glutamatergic cortical neuron	hs_112	0.62
mm_GABAergic neuron	hs_422	0.62
mm_D1/D2-hybrid medium spiny neuron	hs_223	0.62
mm_L6b glutamatergic cortical neuron	hs_99	0.62
hs_422	mm_GABAergic neuron	0.62
hs_184	mm_hippocampal CA1-3 neuron	0.62
hs_223	mm_D1/D2-hybrid medium spiny neuron	0.62
hs_424	mm_GABAergic neuron	0.62
hs_181	mm_hippocampal CA1-3 neuron	0.62
hs_99	mm_L6b glutamatergic cortical neuron	0.62
hs_112	mm_L6b glutamatergic cortical neuron	0.62
hs_101	mm_L6b glutamatergic cortical neuron	0.62
mm_GABAergic neuron	hs_425	0.61
mm_near-projecting glutamatergic cortical neuron	hs_85	0.61
mm_cerebellar Golgi cell	hs_302	0.61
mm_sst GABAergic cortical interneuron	hs_244	0.61
hs_425	mm_GABAergic neuron	0.61
hs_297	mm_pinealocyte	0.61
hs_302	mm_cerebellar Golgi cell	0.61
mm_pinealocyte	hs_297	0.61
hs_244	mm_sst GABAergic cortical interneuron	0.61
hs_85	mm_near-projecting glutamatergic cortical neuron	0.61
hs_255	mm_pvalb GABAergic cortical interneuron	0.6
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_111	0.6
mm_pvalb GABAergic cortical interneuron	hs_255	0.6
mm_GABAergic neuron	hs_443	0.6
hs_111	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.6
hs_443	mm_GABAergic neuron	0.6
mm_GABAergic neuron	hs_416	0.59
hs_427	mm_GABAergic neuron	0.59
mm_GABAergic neuron	hs_427	0.59
mm_GABAergic neuron	hs_442	0.59
hs_428	mm_GABAergic neuron	0.59
hs_442	mm_GABAergic neuron	0.59
mm_neuron	hs_348	0.59
mm_near-projecting glutamatergic cortical neuron	hs_88	0.59
mm_GABAergic neuron	hs_428	0.59
mm_GABAergic neuron	hs_360	0.59
hs_88	mm_near-projecting glutamatergic cortical neuron	0.59
hs_366	mm_oligodendrocyte	0.59
mm_oligodendrocyte	hs_366	0.59
hs_416	mm_GABAergic neuron	0.59
hs_348	mm_neuron	0.59
mm_glutamatergic neuron	hs_385	0.59
hs_360	mm_GABAergic neuron	0.59
hs_385	mm_glutamatergic neuron	0.59
hs_397	mm_neuron	0.58
hs_186	mm_hippocampal CA1-3 neuron	0.58
hs_304	mm_cerebellar neuron	0.58
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_164	0.58
mm_neuron	hs_397	0.58
hs_446	mm_thalamic excitatory neuron	0.58
hs_164	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.58
hs_344	mm_glutamatergic neuron	0.58
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_132	0.58
hs_245	mm_sst GABAergic cortical interneuron	0.58
mm_cerebellar neuron	hs_304	0.58
mm_glutamatergic neuron	hs_420	0.58
mm_hippocampal CA1-3 neuron	hs_186	0.58
hs_433	mm_GABAergic neuron	0.58
hs_132	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.58
mm_GABAergic neuron	hs_433	0.58
hs_420	mm_glutamatergic neuron	0.58
mm_sst GABAergic cortical interneuron	hs_245	0.58
mm_glutamatergic neuron	hs_344	0.58
mm_thalamic excitatory neuron	hs_446	0.58
hs_191	mm_hippocampal CA1-3 neuron	0.57
hs_394	mm_glutamatergic neuron	0.57
mm_glutamatergic neuron	hs_394	0.57
hs_161	mm_amygdala excitatory neuron	0.57
hs_243	mm_sst GABAergic cortical interneuron	0.57
mm_hippocampal CA1-3 neuron	hs_191	0.57
hs_256	mm_pvalb GABAergic cortical interneuron	0.57
mm_pvalb GABAergic cortical interneuron	hs_256	0.57
mm_amygdala excitatory neuron	hs_161	0.57
mm_sst GABAergic cortical interneuron	hs_243	0.57
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_100	0.56
mm_glutamatergic neuron	hs_377	0.56
hs_100	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.56
mm_indirect pathway medium spiny neuron	hs_217	0.56
hs_274	mm_lamp5 GABAergic cortical interneuron	0.56
mm_lamp5 GABAergic cortical interneuron	hs_274	0.56
mm_intratelencephalic-projecting glutamatergic cortical neuron	hs_405	0.56
hs_374	mm_glutamatergic neuron	0.56
hs_405	mm_intratelencephalic-projecting glutamatergic cortical neuron	0.56
hs_377	mm_glutamatergic neuron	0.56
hs_217	mm_indirect pathway medium spiny neuron	0.56
mm_glutamatergic neuron	hs_374	0.56
hs_96	mm_near-projecting glutamatergic cortical neuron	0.55
hs_414	mm_glutamatergic neuron	0.55
mm_near-projecting glutamatergic cortical neuron	hs_95	0.55
mm_sst GABAergic cortical interneuron	hs_246	0.55
hs_440	mm_GABAergic neuron	0.55
hs_106	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.55
mm_glutamatergic neuron	hs_414	0.55
mm_L5 extratelencephalic projecting glutamatergic cortical neuron	hs_116	0.55
hs_246	mm_sst GABAergic cortical interneuron	0.55
hs_116	mm_L5 extratelencephalic projecting glutamatergic cortical neuron	0.55
hs_95	mm_near-projecting glutamatergic cortical neuron	0.55
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_106	0.55
mm_GABAergic neuron	hs_440	0.55
mm_near-projecting glutamatergic cortical neuron	hs_96	0.55
mm_GABAergic neuron	hs_390	0.54
mm_hippocampal CA1-3 neuron	hs_196	0.54
hs_390	mm_GABAergic neuron	0.54
hs_84	mm_near-projecting glutamatergic cortical neuron	0.54
hs_242	mm_sst GABAergic cortical interneuron	0.54
mm_near-projecting glutamatergic cortical neuron	hs_84	0.54
mm_sst GABAergic cortical interneuron	hs_242	0.54
hs_196	mm_hippocampal CA1-3 neuron	0.54
hs_141	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.53
mm_GABAergic neuron	hs_362	0.53
hs_398	mm_glutamatergic neuron	0.53
hs_362	mm_GABAergic neuron	0.53
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_141	0.53
mm_glutamatergic neuron	hs_398	0.53
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_128	0.52
mm_near-projecting glutamatergic cortical neuron	hs_87	0.52
mm_GABAergic neuron	hs_356	0.52
hs_128	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.52
hs_289	mm_vip GABAergic cortical interneuron	0.52
hs_437	mm_GABAergic neuron	0.52
hs_87	mm_near-projecting glutamatergic cortical neuron	0.52
mm_vip GABAergic cortical interneuron	hs_289	0.52
hs_356	mm_GABAergic neuron	0.52
mm_GABAergic neuron	hs_437	0.52
hs_371	mm_glutamatergic neuron	0.52
mm_glutamatergic neuron	hs_371	0.52
hs_231	mm_medium spiny neuron	0.51
mm_neuron	hs_347	0.51
hs_218	mm_direct pathway medium spiny neuron	0.51
hs_233	mm_medium spiny neuron	0.51
mm_medium spiny neuron	hs_231	0.51
mm_medium spiny neuron	hs_233	0.51
hs_387	mm_glutamatergic neuron	0.51
mm_amygdala excitatory neuron	hs_419	0.51
mm_direct pathway medium spiny neuron	hs_218	0.51
mm_glutamatergic neuron	hs_387	0.51
hs_419	mm_amygdala excitatory neuron	0.51
hs_347	mm_neuron	0.51
mm_amygdala excitatory neuron	hs_159	0.5
hs_189	mm_hippocampal CA1-3 neuron	0.5
mm_hippocampal CA1-3 neuron	hs_189	0.5
hs_399	mm_glutamatergic neuron	0.5
hs_401	mm_olfactory granule cell	0.5
hs_275	mm_lamp5 GABAergic cortical interneuron	0.5
mm_sst GABAergic cortical interneuron	hs_241	0.5
mm_glutamatergic neuron	hs_399	0.5
hs_159	mm_amygdala excitatory neuron	0.5
hs_241	mm_sst GABAergic cortical interneuron	0.5
mm_lamp5 GABAergic cortical interneuron	hs_275	0.5
mm_olfactory granule cell	hs_401	0.5
hs_325	mm_mammillary body neuron	0.49
mm_mammillary body neuron	hs_325	0.49
mm_mammillary body neuron	hs_323	0.49
mm_near-projecting glutamatergic cortical neuron	hs_91	0.49
hs_91	mm_near-projecting glutamatergic cortical neuron	0.49
hs_266	mm_chandelier pvalb GABAergic cortical interneuron	0.49
hs_323	mm_mammillary body neuron	0.49
mm_vip GABAergic cortical interneuron	hs_290	0.49
hs_290	mm_vip GABAergic cortical interneuron	0.49
mm_chandelier pvalb GABAergic cortical interneuron	hs_266	0.49
hs_104	mm_L6b glutamatergic cortical neuron	0.48
hs_147	mm_L6 intratelencephalic projecting glutamatergic neuron	0.48
hs_90	mm_near-projecting glutamatergic cortical neuron	0.48
hs_316	mm_glutamatergic neuron	0.48
hs_83	mm_near-projecting glutamatergic cortical neuron	0.48
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_129	0.48
mm_L6 intratelencephalic projecting glutamatergic neuron	hs_147	0.48
mm_near-projecting glutamatergic cortical neuron	hs_83	0.48
mm_glutamatergic neuron	hs_316	0.48
mm_near-projecting glutamatergic cortical neuron	hs_90	0.48
mm_L6b glutamatergic cortical neuron	hs_104	0.48
hs_129	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.48
hs_268	mm_Lamp5 Lhx6 neuron	0.47
mm_neuron	hs_350	0.47
hs_279	mm_caudal ganglionic eminence derived interneuron	0.47
mm_caudal ganglionic eminence derived interneuron	hs_279	0.47
mm_Lamp5 Lhx6 neuron	hs_268	0.47
hs_139	mm_L5 intratelencephalic projecting glutamatergic neuron	0.47
hs_423	mm_GABAergic neuron	0.47
mm_L5 intratelencephalic projecting glutamatergic neuron	hs_139	0.47
hs_350	mm_neuron	0.47
mm_GABAergic neuron	hs_423	0.47
hs_361	mm_GABAergic neuron	0.46
mm_hippocampal CA1-3 neuron	hs_183	0.46
hs_183	mm_hippocampal CA1-3 neuron	0.46
mm_GABAergic neuron	hs_361	0.46
mm_GABAergic neuron	hs_354	0.46
hs_354	mm_GABAergic neuron	0.46
hs_239	mm_sst GABAergic cortical interneuron	0.45
hs_269	mm_Lamp5 Lhx6 neuron	0.45
hs_415	mm_choroid plexus epithelial cell	0.45
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_169	0.45
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_176	0.45
hs_176	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.45
mm_sst GABAergic cortical interneuron	hs_239	0.45
hs_103	mm_L6b glutamatergic cortical neuron	0.45
mm_L6b glutamatergic cortical neuron	hs_103	0.45
mm_Lamp5 Lhx6 neuron	hs_269	0.45
