r	c	score
mm_lymphocyte	hs_2	1.0
hs_2	mm_lymphocyte	1.0
mm_lymphocyte	hs_0	0.99
hs_0	mm_lymphocyte	0.99
hs_1	mm_lymphocyte	0.99
mm_lymphocyte	hs_1	0.99
hs_314	mm_Purkinje cell	0.97
mm_Purkinje cell	hs_314	0.97
mm_thalamic excitatory neuron	hs_454	0.96
hs_308	mm_unipolar brush cell	0.96
mm_glutamatergic neuron	hs_334	0.96
hs_454	mm_thalamic excitatory neuron	0.96
hs_334	mm_glutamatergic neuron	0.96
mm_unipolar brush cell	hs_308	0.96
hs_458	mm_thalamic excitatory neuron	0.95
hs_3	mm_dendritic cell	0.95
mm_thalamic excitatory neuron	hs_458	0.95
mm_dendritic cell	hs_3	0.95
hs_235	mm_sst chodl GABAergic cortical interneuron	0.93
hs_3	mm_border associated macrophage	0.93
mm_microglial cell	hs_3	0.93
mm_dentate gyrus of hippocampal formation granule cell	hs_200	0.93
hs_121	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.93
mm_border associated macrophage	hs_3	0.93
mm_sst chodl GABAergic cortical interneuron	hs_235	0.93
hs_180	mm_hippocampal CA1-3 neuron	0.93
mm_glutamatergic neuron	hs_364	0.93
hs_207	mm_indirect pathway medium spiny neuron	0.93
mm_hippocampal CA1-3 neuron	hs_180	0.93
mm_indirect pathway medium spiny neuron	hs_207	0.93
hs_364	mm_glutamatergic neuron	0.93
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_121	0.93
hs_3	mm_microglial cell	0.93
hs_200	mm_dentate gyrus of hippocampal formation granule cell	0.93
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_107	0.92
hs_452	mm_thalamic excitatory neuron	0.92
hs_211	mm_direct pathway medium spiny neuron	0.92
mm_direct pathway medium spiny neuron	hs_211	0.92
mm_thalamic excitatory neuron	hs_452	0.92
hs_221	mm_indirect pathway medium spiny neuron	0.92
hs_107	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.92
mm_indirect pathway medium spiny neuron	hs_221	0.92
mm_indirect pathway medium spiny neuron	hs_212	0.91
mm_sst GABAergic cortical interneuron	hs_252	0.91
mm_indirect pathway medium spiny neuron	hs_216	0.91
hs_212	mm_indirect pathway medium spiny neuron	0.91
hs_216	mm_indirect pathway medium spiny neuron	0.91
hs_252	mm_sst GABAergic cortical interneuron	0.91
mm_lamp5 GABAergic cortical interneuron	hs_286	0.91
mm_olfactory granule cell	hs_403	0.91
hs_403	mm_olfactory granule cell	0.91
hs_286	mm_lamp5 GABAergic cortical interneuron	0.91
mm_cerebellar granule cell	hs_311	0.9
mm_L6 corticothalamic-projecting glutamatergic cortical neuron	hs_109	0.9
hs_311	mm_cerebellar granule cell	0.9
hs_109	mm_L6 corticothalamic-projecting glutamatergic cortical neuron	0.9
mm_glutamatergic neuron	hs_343	0.89
hs_343	mm_glutamatergic neuron	0.89
mm_thalamic excitatory neuron	hs_450	0.89
hs_450	mm_thalamic excitatory neuron	0.89
hs_204	mm_dentate gyrus of hippocampal formation granule cell	0.89
mm_dentate gyrus of hippocampal formation granule cell	hs_204	0.89
hs_209	mm_direct pathway medium spiny neuron	0.88
mm_direct pathway medium spiny neuron	hs_209	0.88
mm_cerebellar granule cell	hs_310	0.87
hs_254	mm_sst GABAergic cortical interneuron	0.87
mm_near-projecting glutamatergic cortical neuron	hs_86	0.87
mm_lamp5 GABAergic cortical interneuron	hs_287	0.87
mm_pvalb GABAergic cortical interneuron	hs_261	0.87
hs_287	mm_lamp5 GABAergic cortical interneuron	0.87
mm_sst GABAergic cortical interneuron	hs_254	0.87
hs_261	mm_pvalb GABAergic cortical interneuron	0.87
hs_310	mm_cerebellar granule cell	0.87
hs_86	mm_near-projecting glutamatergic cortical neuron	0.87
hs_260	mm_pvalb GABAergic cortical interneuron	0.86
mm_dentate gyrus of hippocampal formation granule cell	hs_199	0.86
mm_pvalb GABAergic cortical interneuron	hs_260	0.86
mm_lamp5 GABAergic cortical interneuron	hs_288	0.86
mm_thalamic excitatory neuron	hs_459	0.86
mm_cerebellar neuron	hs_303	0.86
hs_201	mm_dentate gyrus of hippocampal formation granule cell	0.86
hs_303	mm_cerebellar neuron	0.86
mm_dentate gyrus of hippocampal formation granule cell	hs_201	0.86
hs_288	mm_lamp5 GABAergic cortical interneuron	0.86
hs_199	mm_dentate gyrus of hippocampal formation granule cell	0.86
hs_459	mm_thalamic excitatory neuron	0.86
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_138	0.85
hs_138	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.85
hs_306	mm_cerebellar neuron	0.85
mm_cerebellar neuron	hs_306	0.85
mm_dentate gyrus of hippocampal formation granule cell	hs_203	0.85
hs_203	mm_dentate gyrus of hippocampal formation granule cell	0.85
hs_451	mm_thalamic excitatory neuron	0.84
hs_453	mm_thalamic excitatory neuron	0.84
mm_hippocampal CA1-3 neuron	hs_197	0.84
mm_thalamic excitatory neuron	hs_451	0.84
hs_197	mm_hippocampal CA1-3 neuron	0.84
mm_thalamic excitatory neuron	hs_453	0.84
hs_368	mm_glutamatergic neuron	0.84
mm_glutamatergic neuron	hs_368	0.84
mm_vip GABAergic cortical interneuron	hs_294	0.83
mm_hippocampal CA1-3 neuron	hs_187	0.83
hs_294	mm_vip GABAergic cortical interneuron	0.83
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_133	0.83
mm_L2/3 intratelencephalic projecting glutamatergic neuron	hs_126	0.83
hs_133	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.83
hs_126	mm_L2/3 intratelencephalic projecting glutamatergic neuron	0.83
hs_187	mm_hippocampal CA1-3 neuron	0.83
mm_GABAergic neuron	hs_393	0.82
mm_thalamic excitatory neuron	hs_460	0.82
hs_460	mm_thalamic excitatory neuron	0.82
hs_418	mm_glutamatergic neuron	0.82
hs_135	mm_L4/5 intratelencephalic projecting glutamatergic neuron	0.82
mm_glutamatergic neuron	hs_418	0.82
mm_L5 extratelencephalic projecting glutamatergic cortical neuron	hs_117	0.82
hs_393	mm_GABAergic neuron	0.82
mm_glutamatergic neuron	hs_119	0.82
mm_glutamatergic neuron	hs_151	0.82
mm_L4/5 intratelencephalic projecting glutamatergic neuron	hs_135	0.82
hs_119	mm_glutamatergic neuron	0.82
hs_151	mm_glutamatergic neuron	0.82
