ID	skos:exactMatch	score
ID	A skos:exactMatch	>AT  n2o:Confidence^^xsd:float
WHB:CS202210140_248	WMB:CS20230722_SUBC_053	0.39
WHB:CS202210140_279	WMB:CS20230722_SUBC_049	0.38
WHB:CS202210140_141	WMB:CS20230722_SUBC_005	0.38
WHB:CS202210140_314	WMB:CS20230722_SUBC_036	0.38
WHB:CS202210140_292	WMB:CS20230722_SUBC_046	0.38
WHB:CS202210140_130	WMB:CS20230722_SUBC_006	0.35
WHB:CS202210140_268	WMB:CS20230722_SUBC_050	0.35
WHB:CS202210140_221	WMB:CS20230722_SUBC_061	0.34
WHB:CS202210140_265	WMB:CS20230722_SUBC_051	0.34
WHB:CS202210140_145	WMB:CS20230722_SUBC_005	0.34
WHB:CS202210140_144	WMB:CS20230722_SUBC_006	0.33
WHB:CS202210140_310	WMB:CS20230722_SUBC_314	0.33
WHB:CS202210140_313	WMB:CS20230722_SUBC_314	0.3
WHB:CS202210140_114	WMB:CS20230722_SUBC_022	0.29
WHB:CS202210140_301	WMB:CS20230722_SUBC_309	0.29
WHB:CS202210140_137	WMB:CS20230722_SUBC_006	0.28
WHB:CS202210140_284	WMB:CS20230722_SUBC_049	0.28
WHB:CS202210140_131	WMB:CS20230722_SUBC_006	0.27
WHB:CS202210140_300	WMB:CS20230722_SUBC_309	0.27
WHB:CS202210140_272	WMB:CS20230722_SUBC_050	0.26
WHB:CS202210140_274	WMB:CS20230722_SUBC_049	0.24
WHB:CS202210140_273	WMB:CS20230722_SUBC_049	0.24
WHB:CS202210140_138	WMB:CS20230722_SUBC_005	0.24
WHB:CS202210140_147	WMB:CS20230722_SUBC_004	0.24
WHB:CS202210140_138	WMB:CS20230722_SUBC_006	0.23
WHB:CS202210140_312	WMB:CS20230722_SUBC_262	0.23
WHB:CS202210140_150	WMB:CS20230722_SUBC_005	0.22
WHB:CS202210140_428	WMB:CS20230722_SUBC_081	0.22
WHB:CS202210140_141	WMB:CS20230722_SUBC_006	0.22
WHB:CS202210140_271	WMB:CS20230722_SUBC_050	0.21
WHB:CS202210140_220	WMB:CS20230722_SUBC_061	0.21
WHB:CS202210140_271	WMB:CS20230722_SUBC_049	0.2
WHB:CS202210140_357	WMB:CS20230722_SUBC_307	0.2
WHB:CS202210140_430	WMB:CS20230722_SUBC_325	0.2
WHB:CS202210140_366	WMB:CS20230722_SUBC_250	0.2
WHB:CS202210140_226	WMB:CS20230722_SUBC_063	0.2
WHB:CS202210140_274	WMB:CS20230722_SUBC_050	0.2
WHB:CS202210140_277	WMB:CS20230722_SUBC_048	0.18
WHB:CS202210140_367	WMB:CS20230722_SUBC_318	0.18
WHB:CS202210140_283	WMB:CS20230722_SUBC_049	0.18
WHB:CS202210140_416	WMB:CS20230722_SUBC_322	0.17
WHB:CS202210140_277	WMB:CS20230722_SUBC_047	0.17
WHB:CS202210140_272	WMB:CS20230722_SUBC_049	0.17
WHB:CS202210140_146	WMB:CS20230722_SUBC_004	0.16
WHB:CS202210140_283	WMB:CS20230722_SUBC_047	0.16
WHB:CS202210140_113	WMB:CS20230722_SUBC_030	0.16
WHB:CS202210140_85	WMB:CS20230722_SUBC_030	0.14
WHB:CS202210140_142	WMB:CS20230722_SUBC_005	0.14
WHB:CS202210140_309	WMB:CS20230722_SUBC_316	0.14
WHB:CS202210140_86	WMB:CS20230722_SUBC_030	0.13
WHB:CS202210140_278	WMB:CS20230722_SUBC_049	0.13
WHB:CS202210140_284	WMB:CS20230722_SUBC_046	0.12
WHB:CS202210140_299	WMB:CS20230722_SUBC_309	0.12
WHB:CS202210140_292	WMB:CS20230722_SUBC_047	0.12
WHB:CS202210140_119	WMB:CS20230722_SUBC_022	0.12
WHB:CS202210140_140	WMB:CS20230722_SUBC_006	0.12
WHB:CS202210140_151	WMB:CS20230722_SUBC_319	0.11
WHB:CS202210140_228	WMB:CS20230722_SUBC_063	0.11
WHB:CS202210140_238	WMB:CS20230722_SUBC_053	0.1
WHB:CS202210140_84	WMB:CS20230722_SUBC_030	0.1
